date,bidclose,tickqty,ema,ema_slow,ema_res1,ema_res2,ema_res3,volumn,value1,tickqtyLimit,peaks_min,peaks_max,sell,zone_sell,buy,zone_buy
2023-02-14 16:46:00,1.07154,633,1.0715588565021101,1.0716338188583354,1.0717164020448793,1.0717935399429341,1.0719621464337057,690.9053688863567,1,350,,,0,0.0,0,0.0
2023-02-14 16:47:00,1.07138,534,1.0714873139012662,1.0715774146675945,1.0716683446098965,1.071750009422625,1.071924588598579,662.3771199979282,1,350,,,0,0.0,0,0.0
2023-02-14 16:48:00,1.07174,534,1.0715883883407598,1.0716135447414625,1.071678581094197,1.0717489557991908,1.0719126796565295,639.0358254528503,1,350,,,0,0.0,0,0.0
2023-02-14 16:49:00,1.07178,636,1.071665033004456,1.0716505347989156,1.0716930695093116,1.0717522236098023,1.0719041196785504,638.4838571886957,1,350,,,0,0.0,0,0.0
2023-02-14 16:50:00,1.07184,678,1.0717350198026736,1.0716926381769345,1.07171405957941,1.0717614632298231,1.0718999829250329,645.6686104271147,1,350,,,0,0.0,0,0.0
2023-02-14 16:51:00,1.07171,698,1.0717250118816044,1.0716964963598379,1.071713479639494,1.0717560460477364,1.0718877259619541,655.1834085312756,1,350,,,0,0.0,0,0.0
2023-02-14 16:52:00,1.07168,372,1.0717070071289627,1.0716928305020963,1.0717086968338518,1.0717480412006064,1.071874324286812,603.6955160710437,1,350,,,0,0.0,0,0.0
2023-02-14 16:53:00,1.07165,642,1.0716842042773778,1.0716833126127416,1.0717003115718728,1.0717377210742267,1.0718598517519997,610.6599676944903,1,350,,,0,0.0,0,0.0
2023-02-14 16:54:00,1.07198,780,1.0718025225664267,1.0717492431432436,1.0717402670616052,1.071763224119045,1.0718676032519603,641.4490644773103,1,350,,,0,0.0,0,0.0
2023-02-14 16:55:00,1.07185,728,1.071821513539856,1.071771633555856,1.0717559431956616,1.0717723584223033,1.071866467558273,657.1855982087085,1,350,,,0,0.0,0,0.0
2023-02-14 16:56:00,1.07222,934,1.0719809081239138,1.0718712705434437,1.0718222370248527,1.0718194785883766,1.071889276103132,707.5154894434887,1,350,,,0,0.0,0,0.0
2023-02-14 16:57:00,1.07205,631,1.0720085448743484,1.0719109882004563,1.071854774592731,1.0718437440001263,1.0718996453868994,693.6035822719452,1,350,,,0,0.0,0,0.0
2023-02-14 16:58:00,1.07213,562,1.072057126924609,1.0719596574892438,1.0718940925080551,1.0718738762106392,1.0719145069749734,669.6756582225006,1,350,,,0,0.0,0,0.0
2023-02-14 16:59:00,1.07214,726,1.0720902761547657,1.0719997336027454,1.0719292221497616,1.071901889241098,1.0719290549121927,679.9164476365914,1,350,,,0,0.0,0,0.0
2023-02-14 17:00:00,1.07232,910,1.0721821656928594,1.0720709039132466,1.0719850475569384,1.07194590089993,1.0719542771761181,721.7498207935748,1,350,,,0,0.0,0,0.0
2023-02-14 17:01:00,1.07269,1067,1.0723852994157157,1.072208480821414,1.072085755048804,1.0720242271209899,1.0720017431651006,784.5225806492886,1,350,,,0,0.0,0,0.0
2023-02-14 17:02:00,1.0726,823,1.0724711796494295,1.0722954850833222,1.0721592186132605,1.0720848347924645,1.0720403403805177,791.5184750766905,1,350,,,0,0.0,0,0.0
2023-02-14 17:03:00,1.07264,654,1.0725387077896578,1.072372043953695,1.072227901668509,1.0721432732353628,1.0720790280981496,766.5151159718375,1,350,,,0,0.0,0,0.0
2023-02-14 17:04:00,1.07265,477,1.0725832246737947,1.0724338119639851,1.0722882014301507,1.0721966128947984,1.0721158649952622,713.876003976958,1,350,,,0,0.0,0,0.0
2023-02-14 17:05:00,1.07261,520,1.0725939348042768,1.0724729648608775,1.0723341726544149,1.0722401273269249,1.0721477446731646,678.625821435693,1,350,,,0,0.0,0,0.0
2023-02-14 17:06:00,1.07224,491,1.0724523608825662,1.0724211948917937,1.07232071941807,1.0722401139240907,1.0721536966297656,644.5120357201124,1,350,,,0,0.0,0,0.0
2023-02-14 17:07:00,1.07218,442,1.0723434165295398,1.0723675960269508,1.07230061664406,1.0722337861426072,1.0721553936214019,607.6916655891829,1,350,,,0,0.0,0,0.0
2023-02-14 17:08:00,1.0723,529,1.072326049917724,1.0723525746876286,1.0723005285520515,1.0722407560223328,1.072164723065225,593.3840900275133,1,350,,,0,0.0,0,0.0
2023-02-14 17:09:00,1.07244,456,1.0723716299506347,1.0723720025348225,1.0723204530446158,1.0722617290726135,1.0721824828675441,568.4051645679654,1,350,,,0,0.0,0,0.0
2023-02-14 17:10:00,1.07269,543,1.0724989779703809,1.0724426686381954,1.0723732454668136,1.0723068102228648,1.0722152259084783,563.7860437374262,1,350,,,0,0.0,0,0.0
2023-02-14 17:11:00,1.07277,605,1.0726073867822288,1.0725154089408189,1.0724299246858402,1.0723555670415106,1.072251017785484,571.2794903306215,1,350,,,0,0.0,0,0.0
2023-02-14 17:12:00,1.07289,436,1.0727204320693373,1.0725986513984147,1.07249564973072,1.0724118231424042,1.0722922424446288,546.6832193614175,1,350,,,0,0.0,0,0.0
2023-02-14 17:13:00,1.07289,452,1.0727882592416023,1.0726633955321005,1.0725519854834744,1.072462157548467,1.072330807448327,529.4680885684324,1,350,,,0,0.0,0,0.0
2023-02-14 17:14:00,1.07299,494,1.0728689555449615,1.072735974302745,1.0726145589858354,1.0725177199117863,1.072373336000178,523.0193451923537,1,350,,1.0,1,1.0,0,0.0
2023-02-14 17:15:00,1.07289,444,1.072877373326977,1.0727702022354684,1.0726539077021446,1.072556907289493,1.072406669161552,508.6521915210167,1,350,,,1,0.0,0,0.0
2023-02-14 17:16:00,1.07253,527,1.0727384239961864,1.07271682396092,1.0726362066018384,1.0725540749432305,1.0724146259898601,511.98815669901364,1,350,,,1,0.0,0,0.0
2023-02-14 17:17:00,1.07242,556,1.0726110543977119,1.0726508630807157,1.072605319944433,1.0725399617913114,1.0724149727001928,519.9903100264656,1,350,,,1,0.0,0,0.0
2023-02-14 17:18:00,1.07254,488,1.0725826326386272,1.0726262268405569,1.0725959885237997,1.0725399658132786,1.0724230389776186,514.1738900216537,1,350,,,1,0.0,0,0.0
2023-02-14 17:19:00,1.07264,347,1.0726055795831764,1.0726292875426555,1.0726022758775426,1.0725504957276704,1.0724370364629643,483.7786372904439,1,350,,,1,0.0,0,0.0
